ID,unique_data_id,user,task_number,Filename,answer,Annotator 1 (Matteo),A1 - Completeness,A1 - Correctness,A1 - Intelligibility,Annotator 2 (Albert),Annotator 3
9,b0172f,UquarterU,0,hannoi_Q1.cpp,"hannoi_Q1.cpp
# Questions: How does the algorithm moves disks from the starting rod to the

# ending rod?

# Answer: It checks that there are disks to move (if not, just return). It calls itself recursively - It will move the
top disk to the aux_rod, and then move hthe top disk from the aux_Rod to the to_rod. h
 */",5,,,,3,
19,c35fdf,UmonkU,0,hannoi_Q1.cpp,"hannoi_Q1.cpp
# Questions: How does the algorithm moves disks from the starting rod to the

# ending rod?

# Answer: The disks are moved from the first rod to the second rod and then in the following iteration the third rod is the from rod and it goes recursively until n is 0.
 */",5,,,,3,
31,300bd1,UdragonU,1,hannoi_Q1.cpp,"hannoi_Q1.cpp
# Questions: How does the algorithm moves disks from the starting rod to the

# ending rod?

# Answer: The algorithm uses recursion to print out stuff about where disk have moved
 */",4,,,,2,
43,155d45,UDuckU,0,hannoi_Q1.cs,"hannoi_Q1.cs
# Questions: How does the algorithm moves disks from the starting rod to the

# ending rod?

# Answer: It recursively moves disks
 */",4,,,,,
51,44d4f6,UboatU,0,hannoi_Q1.cs,"hannoi_Q1.cs
# Questions: How does the algorithm moves disks from the starting rod to the

# ending rod?

# Answer:
Take a disk fro the first rod, move all of the disks to the the middle rod, then move all the
disks from the middle rod to the final rod.

 */",5,,,,,
58,f4bbec,UsurfU,0,hannoi_Q1.cs,"hannoi_Q1.cs
# Questions: How does the algorithm moves disks from the starting rod to the

# ending rod?

# Answer: the algorithm works by exchanging the 'role' of the rodes (e.g: changing which
one is the aux rod, the initial and the ending).
 */",3,,,,,
23,9fd0c1,UbeerU,0,hannoi_Q1.py,"hannoi_Q1.py
# Questions: How does the algorithm moves disks from the starting rod to the

# ending rod?

# Answer:
# the algorithm moves (n - 1) disks to the aux_rod with the help of to_rod from from_rod, move the
# nth disk from from_rod to to_rod, then moves(n - 1) disk from aux_rod to to_rod with the help of
# from_rod",5,,,,4,
39,5403f5,UcamelionU,0,hannoi_Q1.py,"hannoi_Q1.py
# Questions: How does the algorithm moves disks from the starting rod to the

# ending rod?

# Answer: This is a recursive function that moves the disks from teh left to the right. In each iteration,
# the problem is changed to be one less rod from the left to the right.
",4,,,,,
1,1d5b6a,UconsumerU,0,hannoi_Q2.cpp,"hannoi_Q2.cpp
# Questions: Which is the base case of the algorithm?

# Answer:
 */n ==0",5,5,5,5,5,
5,4022a9,UsalvationU,0,hannoi_Q2.cs,"hannoi_Q2.cs
# Questions: Which is the base case of the algorithm?

# Answer: base case will be when n reaches 0
 */",5,5,5,4,5,
