unique_data_id,user,task_number,filename,score
d41dd8,UbeerU,3,multithread_Q2.py,0
6695fa,UpassionU,0,hannoi_Q3.cs,2
5403f5,UcamelionU,0,hannoi_Q1.py,2
0d7601,UsleepU,0,hannoi_Q2.py,2
f936ca,UscoopU,3,triangle_Q3.cs,1
f5e35b,UboatU,3,multithread_Q1.cs,2
d214ff,UjumpU,0,hannoi_Q3.py,2
7a600a,UsalvationU,3,triangle_Q2.cs,2
cbdc06,UboatU,1,tree_Q2.cs,0
b0172f,UquarterU,0,hannoi_Q1.cpp,1
7740fd,UquarterU,3,triangle_Q1.cpp,2
88a31c,UcamelionU,2,triangle_Q3.py,1
44e060,UimproveU,2,triangle_Q1.py,2
95024d,UfallU,0,hannoi_Q1.py,0
88a0ee,UpassionU,1,Nqueens_Q1.cs,2
d86a8d,UjumpU,1,multithread_Q1.py,2
c7ca22,UmonkU,2,triangle_Q1.cpp,2
653139,UcryU,3,triangle_Q3.cs,2
403482,UmonkU,3,tree_Q2.cpp,0
1d5b6a,UconsumerU,0,hannoi_Q2.cpp,2
e33aac,UquarterU,1,Nqueens_Q2.cpp,2
56f44e,UsalvationU,1,Nqueens_Q3.cs,2
d3a4b4,UDuckU,4,tree_Q1.cs,2
3d9b54,UbagU,0,hannoi_Q2.py,2
675fc1,UbottleU,2,triangle_Q1.py,2
97a19f,UmosquitoU,1,tree_Q1.py,2
639da1,UeatU,1,multithread_Q1.cs,2
f7b913,UflyU,3,Nqueens_Q1.cs,2
d401e5,UbottleU,3,multithread_Q1.py,0
e0495f,UmonkU,1,Nqueens_Q3.cpp,1
2babb5,UseaU,2,triangle_Q3.py,1
300bd1,UdragonU,1,hannoi_Q1.cpp,1
f4bbec,UsurfU,0,hannoi_Q1.cs,0
448383,UquarterU,2,tree_Q3.cpp,2
c46e6d,UscoopU,0,hannoi_Q3.cs,2
bda0b1,UsalvationU,2,tree_Q1.cs,0
e63ddf,UflyU,0,hannoi_Q2.cs,0
df7ddd,UcryU,2,tree_Q3.cs,1
38606b,UconsumerU,2,tree_Q3.cpp,1
9bcda0,UflyU,2,triangle_Q2.cs,1
debcce,UcamelionU,1,tree_Q1.py,0
b8a651,UclimbU,3,triangle_Q2.cs,2
09601c,UconsumerU,3,triangle_Q3.cpp,0
b93c2f,UfallU,1,multithread_Q2.py,0
3b39e2,UrideU,1,multithread_Q3.cs,1
aecca4,UsleepU,3,triangle_Q3.py,2
b84310,UfallU,4,triangle_Q3.py,0
a4a47a,UdragonU,4,multithread_Q2.cpp,2
98a211,UflyU,1,tree_Q2.cs,0
545804,UrideU,3,triangle_Q1.cs,2
548472,UeatU,0,hannoi_Q2.cs,2
b6cb6e,UmosquitoU,2,triangle_Q3.py,2
44d4f6,UboatU,0,hannoi_Q1.cs,1
1181b7,UsleepU,1,multithread_Q2.py,0
d27bf6,UsleepU,2,tree_Q1.py,0
df2957,UbagU,3,triangle_Q1.py,2
4a5896,UrideU,2,tree_Q1.cs,1
d485dd,UclimbU,4,multithread_Q1.cs,0
b595bc,UboatU,2,triangle_Q2.cs,1
81a0b9,UbeerU,1,tree_Q1.py,0
b3a349,UcryU,0,hannoi_Q3.cs,2
c46f82,UimproveU,0,hannoi_Q3.py,2
9e5778,UsurfU,2,tree_Q2.cs,0
be9283,UscoopU,2,tree_Q3.cs,1
4022a9,UsalvationU,0,hannoi_Q2.cs,2
c6d8ff,UmosquitoU,0,hannoi_Q2.py,2
3b0e57,UdragonU,3,triangle_Q1.cpp,1
ab3a90,UclimbU,0,hannoi_Q2.cs,2
842f7a,UDuckU,3,multithread_Q1.cs,0
4c260d,UcamelionU,3,multithread_Q2.py,2
08147e,UbeerU,2,triangle_Q3.py,2
bf760e,UcryU,1,multithread_Q2.cs,1
9fd0c1,UbeerU,0,hannoi_Q1.py,1
b7971a,UrideU,0,hannoi_Q1.cs,0
3e474f,UimproveU,1,Nqueens_Q1.py,1
500208,UseaU,1,tree_Q1.py,0
155d45,UDuckU,0,hannoi_Q1.cs,1
5bf279,UDuckU,2,triangle_Q2.cs,1
c35fdf,UmonkU,0,hannoi_Q1.cpp,2
b7c85e,UscoopU,1,multithread_Q1.cs,2
4a262b,UmosquitoU,3,multithread_Q2.py,0
b5c173,UdragonU,2,tree_Q2.cpp,0
e84aa9,UseaU,3,multithread_Q3.py,0
93d2e1,UclimbU,1,Nqueens_Q1.cs,2
6831ef,UpassionU,2,triangle_Q3.cs,0
afc047,UbottleU,0,hannoi_Q2.py,2
0480e5,UbagU,2,tree_Q2.py,0
ab1e99,UconsumerU,1,Nqueens_Q3.cpp,1
43e18c,UclimbU,2,tree_Q2.cs,0
161f21,UbagU,4,multithread_Q1.py,2
5a70af,UbottleU,1,tree_Q2.py,0
dc14ad,UfallU,3,tree_Q3.py,1
