filename,model_name,n_try,score
triangle_Q3.py_2_facebook_incoder-6B,facebook_incoder-6B,2,0
triangle_Q3.py_1_facebook_incoder-6B,facebook_incoder-6B,1,0
triangle_Q3.py_0_facebook_incoder-6B,facebook_incoder-6B,0,0
triangle_Q3.cs_2_facebook_incoder-6B,facebook_incoder-6B,2,0
triangle_Q3.cs_1_facebook_incoder-6B,facebook_incoder-6B,1,0
triangle_Q3.cs_0_facebook_incoder-6B,facebook_incoder-6B,0,0
triangle_Q3.cpp_2_facebook_incoder-6B,facebook_incoder-6B,2,0
triangle_Q3.cpp_1_facebook_incoder-6B,facebook_incoder-6B,1,0
triangle_Q3.cpp_0_facebook_incoder-6B,facebook_incoder-6B,0,1
triangle_Q2.py_2_facebook_incoder-6B,facebook_incoder-6B,2,2
triangle_Q2.py_1_facebook_incoder-6B,facebook_incoder-6B,1,2
triangle_Q2.py_0_facebook_incoder-6B,facebook_incoder-6B,0,2
triangle_Q2.cs_2_facebook_incoder-6B,facebook_incoder-6B,2,2
triangle_Q2.cs_1_facebook_incoder-6B,facebook_incoder-6B,1,2
triangle_Q2.cs_0_facebook_incoder-6B,facebook_incoder-6B,0,2
triangle_Q2.cpp_2_facebook_incoder-6B,facebook_incoder-6B,2,2
triangle_Q2.cpp_1_facebook_incoder-6B,facebook_incoder-6B,1,0
triangle_Q2.cpp_0_facebook_incoder-6B,facebook_incoder-6B,0,0
triangle_Q1.py_2_facebook_incoder-6B,facebook_incoder-6B,2,0
triangle_Q1.py_1_facebook_incoder-6B,facebook_incoder-6B,1,0
triangle_Q1.py_0_facebook_incoder-6B,facebook_incoder-6B,0,0
triangle_Q1.cs_2_facebook_incoder-6B,facebook_incoder-6B,2,0
triangle_Q1.cs_1_facebook_incoder-6B,facebook_incoder-6B,1,0
triangle_Q1.cs_0_facebook_incoder-6B,facebook_incoder-6B,0,0
triangle_Q1.cpp_2_facebook_incoder-6B,facebook_incoder-6B,2,0
triangle_Q1.cpp_1_facebook_incoder-6B,facebook_incoder-6B,1,1
triangle_Q1.cpp_0_facebook_incoder-6B,facebook_incoder-6B,0,1
tree_Q3.py_2_facebook_incoder-6B,facebook_incoder-6B,2,1
tree_Q3.py_1_facebook_incoder-6B,facebook_incoder-6B,1,1
tree_Q3.py_0_facebook_incoder-6B,facebook_incoder-6B,0,1
tree_Q3.cs_2_facebook_incoder-6B,facebook_incoder-6B,2,0
tree_Q3.cs_1_facebook_incoder-6B,facebook_incoder-6B,1,0
tree_Q3.cs_0_facebook_incoder-6B,facebook_incoder-6B,0,1
tree_Q3.cpp_2_facebook_incoder-6B,facebook_incoder-6B,2,0
tree_Q3.cpp_1_facebook_incoder-6B,facebook_incoder-6B,1,0
tree_Q3.cpp_0_facebook_incoder-6B,facebook_incoder-6B,0,0
tree_Q2.py_2_facebook_incoder-6B,facebook_incoder-6B,2,0
tree_Q2.py_1_facebook_incoder-6B,facebook_incoder-6B,1,0
tree_Q2.py_0_facebook_incoder-6B,facebook_incoder-6B,0,0
tree_Q2.cs_2_facebook_incoder-6B,facebook_incoder-6B,2,0
tree_Q2.cs_1_facebook_incoder-6B,facebook_incoder-6B,1,0
tree_Q2.cs_0_facebook_incoder-6B,facebook_incoder-6B,0,0
tree_Q2.cpp_2_facebook_incoder-6B,facebook_incoder-6B,2,0
